Aircraft 0 goes to Gate 2, at timeslot 9
Aircraft 122 goes to Gate 11, at timeslot 10
Aircraft 123 goes to Gate 32, at timeslot 1
Aircraft 124 goes to Gate 93, at timeslot 7
Aircraft 125 goes to Gate 86, at timeslot 8
Aircraft 126 goes to Gate 27, at timeslot 1
Aircraft 127 goes to Gate 33, at timeslot 2
Aircraft 128 goes to Gate 9, at timeslot 1
Aircraft 129 goes to Gate 66, at timeslot 14
Aircraft 130 goes to Gate 38, at timeslot 1
Aircraft 131 goes to Gate 81, at timeslot 7
Aircraft 132 goes to Gate 52, at timeslot 5
Aircraft 133 goes to Gate 41, at timeslot 11
Aircraft 134 goes to Gate 78, at timeslot 14
Aircraft 135 goes to Gate 58, at timeslot 0
Aircraft 136 goes to Gate 81, at timeslot 4
Aircraft 137 goes to Gate 4, at timeslot 15
Aircraft 138 goes to Gate 80, at timeslot 1
Aircraft 139 goes to Gate 39, at timeslot 1
Aircraft 140 goes to Gate 80, at timeslot 13
Aircraft 141 goes to Gate 66, at timeslot 12
Aircraft 142 goes to Gate 28, at timeslot 6
Aircraft 143 goes to Gate 67, at timeslot 14
Aircraft 144 goes to Gate 36, at timeslot 6
Aircraft 145 goes to Gate 93, at timeslot 0
Aircraft 146 goes to Gate 36, at timeslot 2
Aircraft 147 goes to Gate 34, at timeslot 3
Aircraft 148 goes to Gate 20, at timeslot 7
Aircraft 149 goes to Gate 55, at timeslot 12
Aircraft 150 goes to Gate 9, at timeslot 9
Aircraft 151 goes to Gate 86, at timeslot 14
Aircraft 152 goes to Gate 15, at timeslot 2
Aircraft 153 goes to Gate 24, at timeslot 11
Aircraft 154 goes to Gate 86, at timeslot 4
Aircraft 155 goes to Gate 36, at timeslot 9
Aircraft 156 goes to Gate 36, at timeslot 14
Aircraft 157 goes to Gate 51, at timeslot 0
Aircraft 158 goes to Gate 54, at timeslot 12
Aircraft 159 goes to Gate 2, at timeslot 6
Aircraft 160 goes to Gate 15, at timeslot 9
Aircraft 161 goes to Gate 28, at timeslot 2
Aircraft 162 goes to Gate 58, at timeslot 4
Aircraft 163 goes to Gate 28, at timeslot 7
Aircraft 164 goes to Gate 53, at timeslot 3
Aircraft 165 goes to Gate 66, at timeslot 0
Aircraft 166 goes to Gate 40, at timeslot 12
Aircraft 167 goes to Gate 20, at timeslot 5
Aircraft 168 goes to Gate 65, at timeslot 4
Aircraft 169 goes to Gate 28, at timeslot 13
Aircraft 170 goes to Gate 81, at timeslot 0
Aircraft 171 goes to Gate 11, at timeslot 13
Aircraft 172 goes to Gate 4, at timeslot 2
Aircraft 173 goes to Gate 66, at timeslot 3
Aircraft 174 goes to Gate 46, at timeslot 1
Aircraft 175 goes to Gate 46, at timeslot 7
Aircraft 176 goes to Gate 80, at timeslot 10
Aircraft 177 goes to Gate 11, at timeslot 1
Aircraft 178 goes to Gate 51, at timeslot 14
Aircraft 179 goes to Gate 48, at timeslot 13
Aircraft 180 goes to Gate 43, at timeslot 3
Aircraft 181 goes to Gate 23, at timeslot 10
Aircraft 182 goes to Gate 78, at timeslot 4
Aircraft 183 goes to Gate 65, at timeslot 10
Aircraft 184 goes to Gate 19, at timeslot 1
Aircraft 185 goes to Gate 27, at timeslot 7
Aircraft 186 goes to Gate 55, at timeslot 4
Aircraft 187 goes to Gate 65, at timeslot 0
Aircraft 188 goes to Gate 27, at timeslot 10 (VIP)
Aircraft 189 goes to Gate 11, at timeslot 2
Aircraft 190 goes to Gate 36, at timeslot 12
Aircraft 191 goes to Gate 77, at timeslot 10
Aircraft 192 goes to Gate 77, at timeslot 7
Aircraft 193 goes to Gate 67, at timeslot 4
Aircraft 194 goes to Gate 46, at timeslot 0
Aircraft 195 goes to Gate 80, at timeslot 2
Aircraft 196 goes to Gate 35, at timeslot 6
Aircraft 197 goes to Gate 31, at timeslot 9
Aircraft 198 goes to Gate 74, at timeslot 2
Aircraft 199 goes to Gate 60, at timeslot 4
Aircraft 200 goes to Gate 38, at timeslot 12
Aircraft 201 goes to Gate 53, at timeslot 9
Aircraft 202 goes to Gate 24, at timeslot 9
Aircraft 203 goes to Gate 31, at timeslot 12
Aircraft 204 goes to Gate 51, at timeslot 5
Aircraft 205 goes to Gate 34, at timeslot 4
Aircraft 206 goes to Gate 9, at timeslot 10
Aircraft 207 goes to Gate 9, at timeslot 4
Aircraft 208 goes to Gate 52, at timeslot 9
Aircraft 209 goes to Gate 51, at timeslot 10
Aircraft 210 goes to Gate 58, at timeslot 12
Aircraft 211 goes to Gate 27, at timeslot 8
Aircraft 212 goes to Gate 67, at timeslot 1
Aircraft 213 goes to Gate 33, at timeslot 5
Aircraft 214 goes to Gate 52, at timeslot 7
Aircraft 215 goes to Gate 26, at timeslot 0
Aircraft 216 goes to Gate 24, at timeslot 10
Aircraft 217 goes to Gate 81, at timeslot 1
Aircraft 218 goes to Gate 36, at timeslot 10
Aircraft 219 goes to Gate 7, at timeslot 3
Aircraft 220 goes to Gate 41, at timeslot 9
Aircraft 221 goes to Gate 67, at timeslot 2
Aircraft 222 goes to Gate 24, at timeslot 8
Aircraft 223 goes to Gate 32, at timeslot 2
Aircraft 224 goes to Gate 53, at timeslot 4
Aircraft 225 goes to Gate 52, at timeslot 14
Aircraft 226 goes to Gate 39, at timeslot 12
Aircraft 227 goes to Gate 81, at timeslot 8
Aircraft 228 goes to Gate 86, at timeslot 2
Aircraft 229 goes to Gate 23, at timeslot 9
Aircraft 230 goes to Gate 93, at timeslot 8
Aircraft 231 goes to Gate 15, at timeslot 7
Aircraft 232 goes to Gate 2, at timeslot 10
Aircraft 233 goes to Gate 75, at timeslot 11
Aircraft 234 goes to Gate 87, at timeslot 12
Aircraft 235 goes to Gate 67, at timeslot 8
Aircraft 236 goes to Gate 41, at timeslot 2
Aircraft 237 goes to Gate 28, at timeslot 3
Aircraft 238 goes to Gate 15, at timeslot 12
Aircraft 239 goes to Gate 75, at timeslot 3
Aircraft 240 goes to Gate 58, at timeslot 13 (VIP)
Aircraft 241 goes to Gate 54, at timeslot 6
Aircraft 242 goes to Gate 2, at timeslot 0
Aircraft 243 goes to Gate 52, at timeslot 10
Aircraft 244 goes to Gate 27, at timeslot 3
Aircraft 245 goes to Gate 12, at timeslot 6
Aircraft 246 goes to Gate 2, at timeslot 11
Aircraft 247 goes to Gate 78, at timeslot 3
Aircraft 248 goes to Gate 12, at timeslot 9
Aircraft 249 goes to Gate 81, at timeslot 6
Aircraft 250 goes to Gate 62, at timeslot 3
Aircraft 251 goes to Gate 38, at timeslot 2
Aircraft 252 goes to Gate 26, at timeslot 2
Aircraft 253 goes to Gate 93, at timeslot 2
Aircraft 254 goes to Gate 80, at timeslot 6
Aircraft 255 goes to Gate 43, at timeslot 4
Aircraft 256 goes to Gate 32, at timeslot 11
Aircraft 257 goes to Gate 39, at timeslot 6
Aircraft 258 goes to Gate 15, at timeslot 0
Aircraft 259 goes to Gate 77, at timeslot 4
Aircraft 260 goes to Gate 47, at timeslot 13
Aircraft 261 goes to Gate 86, at timeslot 9
Aircraft 262 goes to Gate 51, at timeslot 2
Aircraft 263 goes to Gate 24, at timeslot 1
Aircraft 264 goes to Gate 67, at timeslot 12
Aircraft 265 goes to Gate 52, at timeslot 15
Aircraft 266 goes to Gate 33, at timeslot 6
Aircraft 267 goes to Gate 52, at timeslot 1
Aircraft 268 goes to Gate 51, at timeslot 7
Aircraft 269 goes to Gate 12, at timeslot 12
Aircraft 270 goes to Gate 75, at timeslot 5
Aircraft 271 goes to Gate 25, at timeslot 6
Aircraft 272 goes to Gate 34, at timeslot 1
Aircraft 273 goes to Gate 20, at timeslot 10
Aircraft 274 goes to Gate 67, at timeslot 6
Aircraft 275 goes to Gate 51, at timeslot 13
Aircraft 276 goes to Gate 56, at timeslot 6
Aircraft 277 goes to Gate 86, at timeslot 6
Aircraft 278 goes to Gate 42, at timeslot 6
Aircraft 279 goes to Gate 51, at timeslot 11
Aircraft 280 goes to Gate 77, at timeslot 2
Aircraft 281 goes to Gate 41, at timeslot 5
Aircraft 282 goes to Gate 77, at timeslot 14
Aircraft 283 goes to Gate 12, at timeslot 2
Aircraft 284 goes to Gate 54, at timeslot 2
Aircraft 285 goes to Gate 37, at timeslot 3
Aircraft 286 goes to Gate 24, at timeslot 2
Aircraft 287 goes to Gate 47, at timeslot 12
Aircraft 288 goes to Gate 73, at timeslot 13
Aircraft 289 goes to Gate 28, at timeslot 9
Aircraft 290 goes to Gate 73, at timeslot 3
Aircraft 291 goes to Gate 53, at timeslot 8
Aircraft 292 goes to Gate 93, at timeslot 5
Aircraft 293 goes to Gate 19, at timeslot 4
Aircraft 294 goes to Gate 54, at timeslot 5
Aircraft 295 goes to Gate 28, at timeslot 11
Aircraft 296 goes to Gate 12, at timeslot 1
Aircraft 297 goes to Gate 23, at timeslot 11
Aircraft 298 goes to Gate 11, at timeslot 15
Aircraft 299 goes to Gate 53, at timeslot 14
Aircraft 300 goes to Gate 42, at timeslot 12
Aircraft 301 goes to Gate 42, at timeslot 15
Aircraft 302 goes to Gate 64, at timeslot 12
Aircraft 303 goes to Gate 17, at timeslot 5
Aircraft 304 goes to Gate 77, at timeslot 8
Aircraft 305 goes to Gate 40, at timeslot 2
Aircraft 306 goes to Gate 58, at timeslot 9
Aircraft 307 goes to Gate 64, at timeslot 13
Aircraft 308 goes to Gate 24, at timeslot 14
Aircraft 309 goes to Gate 68, at timeslot 12
Aircraft 310 goes to Gate 62, at timeslot 12
Aircraft 311 goes to Gate 54, at timeslot 9
Aircraft 312 goes to Gate 6, at timeslot 5
Aircraft 313 goes to Gate 78, at timeslot 6
Aircraft 314 goes to Gate 47, at timeslot 4
Aircraft 315 goes to Gate 47, at timeslot 0
Aircraft 316 goes to Gate 51, at timeslot 8
Aircraft 317 goes to Gate 26, at timeslot 10
Aircraft 318 goes to Gate 20, at timeslot 14
Aircraft 319 goes to Gate 55, at timeslot 5
Aircraft 320 goes to Gate 62, at timeslot 15
Aircraft 321 goes to Gate 93, at timeslot 15
Aircraft 322 goes to Gate 74, at timeslot 5
Aircraft 323 goes to Gate 28, at timeslot 5
Aircraft 324 goes to Gate 43, at timeslot 11
Aircraft 325 goes to Gate 28, at timeslot 1
Aircraft 326 goes to Gate 2, at timeslot 15
Aircraft 327 goes to Gate 19, at timeslot 0
Aircraft 328 goes to Gate 31, at timeslot 0
Aircraft 329 goes to Gate 68, at timeslot 0
Aircraft 330 goes to Gate 80, at timeslot 0
Aircraft 331 goes to Gate 35, at timeslot 14
Aircraft 332 goes to Gate 78, at timeslot 10
Aircraft 333 goes to Gate 93, at timeslot 12
Aircraft 334 goes to Gate 86, at timeslot 13
Aircraft 335 goes to Gate 55, at timeslot 0
Aircraft 336 goes to Gate 15, at timeslot 13
Aircraft 337 goes to Gate 95, at timeslot 10
Aircraft 338 goes to Gate 32, at timeslot 7
Aircraft 339 goes to Gate 21, at timeslot 6
Aircraft 340 goes to Gate 56, at timeslot 3
Aircraft 341 goes to Gate 35, at timeslot 5
Aircraft 342 goes to Gate 73, at timeslot 4
Aircraft 343 goes to Gate 40, at timeslot 3
Aircraft 344 goes to Gate 95, at timeslot 15 (VIP)
Aircraft 345 goes to Gate 28, at timeslot 4
Aircraft 346 goes to Gate 66, at timeslot 5
Aircraft 347 goes to Gate 2, at timeslot 12
Aircraft 348 goes to Gate 41, at timeslot 12
Aircraft 349 goes to Gate 40, at timeslot 10
Aircraft 350 goes to Gate 26, at timeslot 1
Aircraft 351 goes to Gate 36, at timeslot 3
Aircraft 352 goes to Gate 32, at timeslot 12
Aircraft 353 goes to Gate 34, at timeslot 6
Aircraft 354 goes to Gate 86, at timeslot 7
Aircraft 355 goes to Gate 36, at timeslot 4
Aircraft 356 goes to Gate 92, at timeslot 0
Aircraft 357 goes to Gate 37, at timeslot 13
Aircraft 358 goes to Gate 20, at timeslot 0
Aircraft 359 goes to Gate 68, at timeslot 7
Aircraft 360 goes to Gate 37, at timeslot 15
Aircraft 361 goes to Gate 55, at timeslot 10
Aircraft 362 goes to Gate 48, at timeslot 12
Aircraft 363 goes to Gate 31, at timeslot 3
Aircraft 364 goes to Gate 31, at timeslot 13
Aircraft 365 goes to Gate 81, at timeslot 3
Aircraft 366 goes to Gate 56, at timeslot 0
Aircraft 367 goes to Gate 24, at timeslot 0
Aircraft 368 goes to Gate 92, at timeslot 9
Aircraft 369 goes to Gate 25, at timeslot 4
Aircraft 370 goes to Gate 12, at timeslot 4
Aircraft 371 goes to Gate 39, at timeslot 5
Aircraft 372 goes to Gate 40, at timeslot 15
Aircraft 373 goes to Gate 2, at timeslot 8
Aircraft 374 goes to Gate 43, at timeslot 14
Aircraft 375 goes to Gate 19, at timeslot 8
Aircraft 376 goes to Gate 35, at timeslot 0
Aircraft 377 goes to Gate 36, at timeslot 1
Aircraft 378 goes to Gate 9, at timeslot 5
Aircraft 379 goes to Gate 75, at timeslot 9
Aircraft 380 goes to Gate 78, at timeslot 9
Aircraft 381 goes to Gate 27, at timeslot 12
Aircraft 382 goes to Gate 93, at timeslot 14
Aircraft 383 goes to Gate 86, at timeslot 15
Aircraft 384 goes to Gate 93, at timeslot 6
Aircraft 385 goes to Gate 19, at timeslot 14
Aircraft 386 goes to Gate 75, at timeslot 1
Aircraft 387 goes to Gate 54, at timeslot 4
Aircraft 388 goes to Gate 12, at timeslot 0
Aircraft 389 goes to Gate 66, at timeslot 4
Aircraft 390 goes to Gate 24, at timeslot 7
Aircraft 391 goes to Gate 39, at timeslot 14
Aircraft 392 goes to Gate 43, at timeslot 7
Aircraft 393 goes to Gate 55, at timeslot 11
Aircraft 394 goes to Gate 58, at timeslot 14
Aircraft 395 goes to Gate 39, at timeslot 7
Aircraft 396 goes to Gate 33, at timeslot 13
Aircraft 397 goes to Gate 40, at timeslot 6
Aircraft 398 goes to Gate 58, at timeslot 2
Aircraft 399 goes to Gate 42, at timeslot 14
Aircraft 400 goes to Gate 75, at timeslot 6
Aircraft 401 goes to Gate 95, at timeslot 0
Aircraft 402 goes to Gate 56, at timeslot 11
Aircraft 403 goes to Gate 73, at timeslot 15
Aircraft 404 goes to Gate 23, at timeslot 15
Aircraft 405 goes to Gate 37, at timeslot 2
Aircraft 406 goes to Gate 95, at timeslot 11
Aircraft 407 goes to Gate 56, at timeslot 7
Aircraft 408 goes to Gate 55, at timeslot 14
Aircraft 409 goes to Gate 67, at timeslot 7
Aircraft 410 goes to Gate 28, at timeslot 14 (VIP)
Aircraft 411 goes to Gate 42, at timeslot 10
Aircraft 412 goes to Gate 27, at timeslot 2
Aircraft 413 goes to Gate 17, at timeslot 6
Aircraft 414 goes to Gate 55, at timeslot 1
Aircraft 415 goes to Gate 19, at timeslot 3
Aircraft 416 goes to Gate 33, at timeslot 7
Aircraft 417 goes to Gate 62, at timeslot 13
Aircraft 418 goes to Gate 4, at timeslot 11
Aircraft 419 goes to Gate 40, at timeslot 0
Aircraft 420 goes to Gate 77, at timeslot 5
Aircraft 421 goes to Gate 52, at timeslot 4
Aircraft 422 goes to Gate 80, at timeslot 5
Aircraft 423 goes to Gate 77, at timeslot 13
Aircraft 424 goes to Gate 32, at timeslot 5
Aircraft 425 goes to Gate 9, at timeslot 3
Aircraft 426 goes to Gate 27, at timeslot 11
Aircraft 427 goes to Gate 95, at timeslot 8
Aircraft 428 goes to Gate 32, at timeslot 0
Aircraft 429 goes to Gate 92, at timeslot 1
Aircraft 430 goes to Gate 58, at timeslot 5
Aircraft 431 goes to Gate 37, at timeslot 12
Aircraft 432 goes to Gate 33, at timeslot 4
Aircraft 433 goes to Gate 51, at timeslot 1
Aircraft 434 goes to Gate 78, at timeslot 13
Aircraft 435 goes to Gate 9, at timeslot 13
Aircraft 436 goes to Gate 81, at timeslot 5
Aircraft 437 goes to Gate 4, at timeslot 0
Aircraft 438 goes to Gate 32, at timeslot 6
Aircraft 439 goes to Gate 12, at timeslot 8
Aircraft 440 goes to Gate 28, at timeslot 8
Aircraft 441 goes to Gate 26, at timeslot 6
Aircraft 442 goes to Gate 12, at timeslot 14
Aircraft 443 goes to Gate 75, at timeslot 15
Aircraft 444 goes to Gate 6, at timeslot 3
Aircraft 445 goes to Gate 32, at timeslot 4
Aircraft 446 goes to Gate 40, at timeslot 4
Aircraft 447 goes to Gate 43, at timeslot 10
Aircraft 448 goes to Gate 15, at timeslot 10
Aircraft 449 goes to Gate 38, at timeslot 11
Aircraft 450 goes to Gate 17, at timeslot 3 (VIP)
Aircraft 451 goes to Gate 95, at timeslot 6
Aircraft 452 goes to Gate 34, at timeslot 12
Aircraft 453 goes to Gate 11, at timeslot 5
Aircraft 454 goes to Gate 56, at timeslot 10
Aircraft 455 goes to Gate 39, at timeslot 13
Aircraft 456 goes to Gate 55, at timeslot 9
Aircraft 457 goes to Gate 40, at timeslot 8
Aircraft 458 goes to Gate 77, at timeslot 12
Aircraft 459 goes to Gate 65, at timeslot 1
Aircraft 460 goes to Gate 2, at timeslot 3
Aircraft 461 goes to Gate 52, at timeslot 8
Aircraft 462 goes to Gate 11, at timeslot 11
Aircraft 463 goes to Gate 28, at timeslot 10
Aircraft 464 goes to Gate 41, at timeslot 14
Aircraft 465 goes to Gate 95, at timeslot 13
Aircraft 466 goes to Gate 58, at timeslot 1
Aircraft 467 goes to Gate 4, at timeslot 14
Aircraft 468 goes to Gate 68, at timeslot 14 (VIP)
Aircraft 469 goes to Gate 92, at timeslot 5
Aircraft 470 goes to Gate 80, at timeslot 14
Aircraft 471 goes to Gate 92, at timeslot 8
Aircraft 472 goes to Gate 74, at timeslot 0
Aircraft 473 goes to Gate 11, at timeslot 3
Aircraft 474 goes to Gate 80, at timeslot 7
Aircraft 475 goes to Gate 56, at timeslot 13
Aircraft 476 goes to Gate 95, at timeslot 12
Aircraft 477 goes to Gate 95, at timeslot 1
Aircraft 478 goes to Gate 40, at timeslot 7
Aircraft 479 goes to Gate 15, at timeslot 8
Aircraft 480 goes to Gate 54, at timeslot 0
Aircraft 481 goes to Gate 38, at timeslot 7
Aircraft 482 goes to Gate 47, at timeslot 5
Aircraft 483 goes to Gate 80, at timeslot 15
Aircraft 484 goes to Gate 33, at timeslot 15
Aircraft 485 goes to Gate 86, at timeslot 10
Aircraft 486 goes to Gate 19, at timeslot 9
Aircraft 487 goes to Gate 39, at timeslot 9
Aircraft 488 goes to Gate 19, at timeslot 6
Aircraft 489 goes to Gate 25, at timeslot 8
Aircraft 490 goes to Gate 31, at timeslot 7
Aircraft 491 goes to Gate 53, at timeslot 15
Aircraft 492 goes to Gate 65, at timeslot 5
Aircraft 493 goes to Gate 4, at timeslot 9
Aircraft 494 goes to Gate 78, at timeslot 1
Aircraft 495 goes to Gate 42, at timeslot 0
Aircraft 496 goes to Gate 88, at timeslot 0
Aircraft 497 goes to Gate 9, at timeslot 11
Aircraft 498 goes to Gate 54, at timeslot 14
Aircraft 499 goes to Gate 60, at timeslot 5
Aircraft 500 goes to Gate 55, at timeslot 6
Aircraft 501 goes to Gate 58, at timeslot 3
Aircraft 502 goes to Gate 55, at timeslot 15
Aircraft 503 goes to Gate 58, at timeslot 6
Aircraft 504 goes to Gate 40, at timeslot 13
Aircraft 505 goes to Gate 77, at timeslot 11
Aircraft 506 goes to Gate 86, at timeslot 11
Aircraft 507 goes to Gate 41, at timeslot 1
Aircraft 508 goes to Gate 55, at timeslot 7
Aircraft 509 goes to Gate 78, at timeslot 7
Aircraft 510 goes to Gate 4, at timeslot 10
Aircraft 511 goes to Gate 75, at timeslot 0
Aircraft 512 goes to Gate 34, at timeslot 7
Aircraft 513 goes to Gate 28, at timeslot 15
Aircraft 514 goes to Gate 20, at timeslot 6
Aircraft 515 goes to Gate 25, at timeslot 0
Aircraft 516 goes to Gate 56, at timeslot 4
Aircraft 517 goes to Gate 2, at timeslot 2
Aircraft 518 goes to Gate 53, at timeslot 7
Aircraft 519 goes to Gate 56, at timeslot 5
Aircraft 520 goes to Gate 65, at timeslot 14
Aircraft 521 goes to Gate 56, at timeslot 2
Aircraft 522 goes to Gate 65, at timeslot 8
Aircraft 523 goes to Gate 53, at timeslot 10
Aircraft 524 goes to Gate 62, at timeslot 5
Aircraft 525 goes to Gate 77, at timeslot 6
Aircraft 526 goes to Gate 50, at timeslot 6
Aircraft 527 goes to Gate 26, at timeslot 4
Aircraft 528 goes to Gate 73, at timeslot 1
Aircraft 529 goes to Gate 15, at timeslot 5
Aircraft 530 goes to Gate 26, at timeslot 11
Aircraft 531 goes to Gate 20, at timeslot 4
Aircraft 532 goes to Gate 88, at timeslot 5
Aircraft 533 goes to Gate 2, at timeslot 5
Aircraft 534 goes to Gate 31, at timeslot 6
Aircraft 535 goes to Gate 80, at timeslot 3
Aircraft 536 goes to Gate 26, at timeslot 8
Aircraft 537 goes to Gate 77, at timeslot 1
Aircraft 538 goes to Gate 31, at timeslot 15
Aircraft 539 goes to Gate 46, at timeslot 4
Aircraft 540 goes to Gate 43, at timeslot 2
Aircraft 541 goes to Gate 42, at timeslot 9
Aircraft 542 goes to Gate 36, at timeslot 7
Aircraft 543 goes to Gate 51, at timeslot 4
Aircraft 544 goes to Gate 64, at timeslot 1
Aircraft 545 goes to Gate 47, at timeslot 8
Aircraft 546 goes to Gate 40, at timeslot 14
Aircraft 547 goes to Gate 31, at timeslot 2
Aircraft 548 goes to Gate 39, at timeslot 3
Aircraft 549 goes to Gate 55, at timeslot 3
Aircraft 550 goes to Gate 26, at timeslot 13
Aircraft 551 goes to Gate 33, at timeslot 11
Aircraft 552 goes to Gate 75, at timeslot 13
Aircraft 553 goes to Gate 68, at timeslot 4
Aircraft 554 goes to Gate 4, at timeslot 1
Aircraft 555 goes to Gate 75, at timeslot 10
Aircraft 556 goes to Gate 88, at timeslot 6
