flights,passengers,timeslot,category,VIP
151,146,10,2,0
152,63,0,1,0
153,60,1,0,0
154,73,5,0,0
155,174,0,0,0
156,131,5,2,0
157,185,14,2,0
158,171,8,1,0
159,202,11,0,0
160,252,12,1,0
161,270,8,0,0
162,198,0,0,1
163,210,13,1,0
164,190,0,2,0
165,243,0,0,0
166,144,9,2,0
167,110,8,2,0
168,283,5,0,0
169,202,9,1,0
170,132,11,0,0
171,165,14,1,0
172,147,3,2,0
173,180,14,1,0
174,286,4,2,0
175,270,14,0,0
176,153,13,2,0
177,148,0,0,0
178,60,9,1,0
179,232,13,1,0
180,146,8,0,0
181,283,6,2,0
182,132,3,1,0
183,264,10,1,0
184,248,9,1,0
185,244,9,2,0
186,121,0,0,0
187,281,8,2,0
188,226,1,1,0
189,104,6,2,0
190,65,6,0,0
191,183,1,0,0
192,195,3,2,0
193,220,15,1,0
194,70,7,2,0
195,168,11,1,0
196,226,13,2,0
197,72,15,2,0
198,279,3,2,0
199,191,12,1,0
200,291,15,0,0
201,164,13,1,0
202,147,2,2,0
203,231,15,1,0
204,134,13,0,0
205,60,3,2,0
206,146,0,2,0
207,233,10,0,1
208,111,2,0,0
209,106,8,2,0
210,267,10,1,0
211,199,2,0,0
212,281,14,2,0
213,146,9,0,0
214,299,0,0,0
215,261,1,2,0
216,75,12,2,0
217,291,14,0,0
218,192,3,1,0
219,191,9,1,0
220,262,4,0,0
221,166,8,2,0
222,93,8,2,0
223,184,8,1,0
224,255,14,2,0
225,234,14,2,0
226,237,2,0,0
227,193,8,1,0
228,74,6,1,0
229,187,4,1,0
230,244,9,2,0
231,249,12,1,0
232,103,0,1,0
233,119,10,0,0
234,214,5,1,0
235,151,11,2,0
236,298,10,2,1
237,71,5,0,0
238,90,6,2,0
239,127,1,2,0
240,269,7,2,0
241,227,6,0,0
242,163,5,2,0
243,97,11,0,0
244,255,7,0,0
245,218,1,2,0
246,256,15,2,0
247,95,9,1,0
248,137,7,0,0
249,194,5,2,0
250,206,6,1,0
251,284,7,2,0
252,95,6,1,0
253,245,10,2,0
254,166,7,0,0
255,116,15,1,0
256,256,5,0,0
257,96,6,0,0
258,178,8,2,0
259,207,7,2,0
260,113,12,2,0
261,125,4,1,0
262,85,2,1,0
263,231,10,0,0
264,271,4,0,0
265,83,0,2,1
266,180,0,0,0
267,262,14,1,0
268,133,3,2,0
269,98,12,2,0
270,104,14,0,0
271,82,12,2,0
272,206,11,1,0
273,105,5,0,0
274,260,9,0,0
275,81,0,0,0
276,78,3,0,0
277,272,6,1,0
278,124,5,1,0
279,186,1,2,0
280,159,10,2,0
281,149,11,0,0
282,82,14,2,0
283,58,11,1,0
284,134,1,0,0
285,255,8,2,0
286,100,4,1,0
287,129,7,2,0
288,219,0,0,0
289,114,15,1,0
290,158,1,2,0
291,261,7,0,0
292,74,1,1,0
293,163,14,2,0
294,284,14,0,0
295,70,13,2,0
296,94,11,0,0
297,65,13,0,0
298,208,5,2,0
299,269,4,0,0
300,192,12,1,1
301,293,10,1,0
302,69,5,1,0
303,204,6,0,0
304,285,10,0,0
305,136,2,2,0
306,185,5,2,0
307,277,10,0,0
308,103,15,0,0
309,225,3,1,0
310,160,12,0,0
311,238,9,2,0
312,293,3,0,0
313,84,9,0,0
314,150,5,0,0
315,278,1,2,0
316,82,12,2,0
317,197,9,0,0
318,245,11,0,0
319,74,7,0,0
320,261,7,2,0
321,279,0,1,0
322,144,15,1,0
323,216,12,0,1
324,225,8,1,0
325,281,12,0,0
326,183,6,0,0
327,129,1,2,0
328,113,2,0,0
329,163,0,2,0
330,137,10,0,0
331,210,4,0,0
332,92,4,0,0
333,252,6,1,0
334,244,1,0,0
335,266,0,0,0
336,276,9,0,0
337,208,4,2,0
338,195,9,2,0
339,118,3,1,0
340,114,14,2,0
341,238,0,0,0
342,294,15,2,0
343,256,10,1,0
344,195,15,2,0
345,217,5,0,0
346,213,1,0,0
347,259,1,1,0
348,206,9,2,0
349,200,6,1,0
350,88,10,0,0
351,219,12,0,0
352,252,0,1,0
353,255,2,1,0
354,120,13,0,0
355,203,13,0,0
356,280,8,2,0
357,290,12,0,0
358,98,10,1,0
359,228,3,1,0
360,240,7,0,0
361,94,2,2,0
362,155,15,0,0
363,232,15,0,0
364,50,5,2,0
365,136,6,2,1
366,297,0,0,0
367,66,4,2,0
368,69,2,0,1
369,59,15,0,0
370,162,3,0,0
371,270,14,0,0
372,101,1,2,0
373,161,0,2,0
374,188,14,0,0
375,173,5,1,0
376,118,7,1,0
377,201,0,1,0
378,64,2,2,0
379,241,2,2,0
380,71,10,1,0
381,224,0,1,0
382,174,11,0,0
383,181,9,2,0
384,234,5,1,0
385,138,1,1,0
386,258,1,1,0
387,224,6,1,0
388,104,3,1,0
389,257,14,2,0
390,121,2,2,0
391,64,1,1,0
392,255,1,1,0
393,193,2,2,0
394,203,15,0,0
395,103,7,0,0
396,262,13,1,0
397,299,5,0,1
398,236,2,2,0
399,263,14,1,0
400,164,12,1,0
401,288,11,0,0
402,207,9,0,0
403,94,4,0,0
404,87,13,2,0
405,200,15,0,0
406,269,15,0,0
407,232,7,2,0
408,126,15,2,0
409,62,3,0,0
410,170,11,2,0
411,109,5,2,0
412,204,13,0,0
413,254,0,2,0
414,249,2,2,0
415,265,15,1,0
416,217,1,2,0
417,175,4,2,0
418,93,14,2,0
419,254,9,1,0
420,164,4,1,0
421,88,6,1,0
422,141,9,1,0
423,162,3,0,0
424,119,11,1,0
425,276,10,1,0
426,211,8,0,1
427,221,12,0,1
428,204,8,2,0
429,234,7,1,0
430,247,13,1,0
431,123,12,0,0
432,102,14,0,0
433,139,1,1,0
434,77,11,2,0
435,93,8,2,0
436,51,13,2,0
437,132,10,0,0
438,177,7,2,0
439,144,8,2,0
440,274,9,0,0
441,204,2,0,0
442,134,2,0,0
443,80,5,0,0
444,153,15,1,0
445,114,10,0,0
446,200,14,1,0
447,148,5,2,0
448,102,3,0,0
449,181,5,2,0
450,120,9,2,0
451,190,10,0,0
452,89,13,2,0
453,280,2,1,0
454,133,7,1,0
455,289,13,2,0
456,226,15,2,0
457,111,13,2,0
458,248,4,1,0
459,63,1,1,0
460,214,6,2,0
461,73,14,2,0
462,200,9,2,0
463,244,15,0,0
464,172,13,2,0
465,270,8,1,0
466,299,1,1,0
467,284,8,1,0
468,145,1,1,0
469,103,6,0,0
470,187,2,0,0
471,219,6,0,0
472,235,1,2,0
473,138,8,2,0
474,159,3,0,0
475,296,7,1,0
476,271,0,2,0
477,294,7,0,0
478,254,13,2,0
479,132,14,1,0
480,156,0,0,0
481,189,0,2,0
482,155,10,0,0
483,86,7,0,0
484,162,3,0,0
485,194,9,1,0
486,208,11,2,0
487,165,5,2,0
488,156,11,0,0
489,262,10,0,0
490,235,2,0,0
491,85,5,2,0
492,219,1,0,0
493,131,11,1,0
494,52,11,2,0
495,263,2,0,0
496,143,10,0,0
497,214,11,0,0
498,159,5,2,0
499,96,10,1,1
500,130,3,1,0
501,77,15,1,0
502,122,11,0,0
503,78,3,0,0
504,180,6,0,0
505,277,1,0,0
506,191,13,1,0
507,219,11,2,0
508,171,12,1,0
509,86,8,1,0
510,278,1,2,0
511,218,8,2,0
512,68,6,2,0
513,275,4,2,0
514,216,6,1,0
515,113,12,0,0
516,293,9,2,0
517,96,5,1,1
518,154,15,2,0
519,267,4,1,1
520,281,11,1,0
521,162,15,0,0
522,151,10,1,1
523,52,7,1,0
524,148,11,2,0
525,78,2,2,0
526,256,0,0,0
527,253,14,0,0
528,236,11,0,0
529,220,2,1,0
530,76,12,0,0
531,282,0,1,0
532,199,5,2,0
533,108,15,2,0
534,177,9,0,0
535,194,10,0,0
536,270,4,1,0
537,87,15,0,0
538,283,1,2,0
539,287,4,1,0
540,282,5,0,0
541,284,2,0,0
542,61,9,1,0
543,200,12,1,0
544,56,3,1,0
545,146,11,0,0
546,192,1,2,0
547,150,5,0,0
548,137,13,1,0
549,253,15,1,0
550,213,10,2,0
551,241,14,2,0
552,173,13,1,0
553,82,1,2,0
554,160,1,2,0
555,141,14,0,0
556,227,7,1,0
557,280,1,0,0
558,172,2,1,0
559,178,6,1,0
560,200,13,2,0
561,147,0,1,0
562,248,7,0,0
563,214,13,2,0
564,196,7,2,0
565,77,12,0,0
566,206,4,0,0
567,279,3,0,0
568,102,11,0,0
569,152,2,1,0
570,292,7,1,0
571,272,8,0,0
572,171,5,0,0
573,100,2,2,0
574,96,12,1,0
575,57,15,1,0
576,263,4,1,0
577,66,9,0,1
578,281,2,0,0
579,207,2,2,0
580,189,3,2,0
581,239,13,2,0
582,64,5,1,0
583,154,9,2,0
584,80,6,2,0
585,186,4,1,0
586,218,11,1,0
587,226,11,1,0
588,208,13,1,0
589,201,12,2,0
590,244,9,0,0
591,270,0,1,0
592,242,2,1,1
593,281,8,1,0
594,190,3,0,0
595,195,10,2,0
596,211,7,2,0
597,60,3,0,0
598,78,13,1,0
599,283,9,2,0
600,253,11,1,0
601,183,14,1,0
602,131,2,1,0
603,183,3,2,0
604,171,8,2,0
605,92,8,1,0
606,136,15,0,0
607,230,12,2,0
608,107,0,2,0
609,106,2,2,0
610,128,6,0,0
611,137,14,2,0
612,167,10,0,0
613,259,8,1,0
614,188,15,0,0
615,250,3,0,0
616,98,6,0,0
617,295,10,2,0
618,69,11,2,0
619,190,15,2,0
620,203,4,0,0
621,127,9,1,0
622,66,7,0,0
623,54,6,1,0
624,266,14,2,0
625,168,3,1,0
626,205,2,2,0
627,228,12,2,0
628,118,9,1,0
629,181,10,1,0
630,236,11,0,0
631,62,1,2,0
632,180,5,1,0
633,126,5,2,0
634,146,10,0,0
635,146,6,1,0
636,111,9,2,0
637,193,4,2,0
638,150,6,2,0
639,124,7,1,0
640,190,11,0,0
641,196,8,2,0
642,208,5,0,0
643,237,7,2,0
644,183,2,1,0
645,194,10,2,0
646,145,5,0,0
647,146,3,2,0
648,238,13,1,1
649,221,14,2,0
650,286,4,0,0
651,81,11,1,0
652,285,12,2,0
653,149,5,1,0
654,94,9,1,0
655,74,10,2,0
656,240,2,2,0
657,129,4,2,0
658,71,11,2,0
659,197,0,1,0
660,127,10,1,0
661,83,13,0,0
662,54,10,0,0
663,89,3,2,0
664,174,11,2,0
665,117,12,0,0
666,212,10,1,1
667,212,5,1,0
668,92,2,2,0
669,128,12,0,0
670,260,10,2,0
671,152,6,0,0
672,88,12,0,0
673,172,2,0,0
674,226,8,0,0
675,172,14,1,0
676,259,0,2,0
677,55,13,0,0
678,280,2,0,0
679,269,6,0,0
680,295,4,2,0
681,186,11,0,0
682,90,8,2,0
683,247,4,0,0
684,55,3,2,0
685,57,12,0,1
686,256,4,2,0
687,87,13,2,0
688,155,9,1,0
689,128,8,0,1
690,83,3,0,0
691,77,5,0,0
692,229,15,0,1
693,127,11,2,0
694,80,14,0,0
695,221,13,0,0
696,224,2,1,0
697,59,11,1,0
698,117,0,0,0
699,53,7,0,0
700,245,9,1,0
701,104,12,2,0
702,147,12,0,0
703,241,13,0,0
704,277,8,1,0
705,130,11,2,0
706,78,1,0,0
707,215,13,0,0
708,242,4,2,0
709,215,6,2,0
710,271,12,1,0
711,196,1,0,0
712,128,6,1,0
713,153,9,2,0
714,248,3,1,1
715,270,14,0,0
716,102,15,2,0
717,188,4,1,1
718,210,3,2,0
719,96,7,0,0
720,113,3,1,0
721,173,12,1,0
722,271,13,2,0
723,196,12,0,0
724,214,8,1,0
725,207,10,2,0
726,298,3,1,0
727,89,4,1,0
728,78,15,1,0
729,104,11,0,0
730,79,15,1,0
731,233,4,2,0
732,153,12,1,0
733,140,4,0,0
734,205,10,2,0
735,238,6,0,0
736,156,3,1,0
737,190,0,0,0
738,195,15,2,0
739,121,4,1,0
740,141,10,0,0
741,185,6,2,0
742,174,10,2,0
743,261,4,2,0
744,234,9,1,0
745,101,14,2,0
746,210,3,2,0
747,254,0,1,0
748,112,6,1,0
749,152,2,0,0
750,229,15,1,0
751,146,9,0,0
752,80,2,2,0
753,200,15,0,0
